,month,state,cases_new,cases_recovered,cases_active,cases_unvax,cases_pvax,cases_fvax,cases_boost
242,2021-07,Kelantan,8183,4910,63425,7009,637,537,0
243,2021-07,Melaka,12951,9745,134318,11207,1154,590,0
244,2021-07,Negeri Sembilan,26611,24859,297870,21460,3788,1363,0
245,2021-07,Pahang,10770,6390,110255,9261,860,649,0
246,2021-07,Perak,11051,7566,86343,9685,889,477,0
247,2021-07,Perlis,110,55,816,83,11,16,0
248,2021-07,Pulau Pinang,11338,6655,83960,9659,1352,327,0
249,2021-07,Sabah,15276,9676,111748,13435,1029,812,0
250,2021-07,Sarawak,11877,11962,128052,6564,4248,1065,0
251,2021-07,Selangor,158668,93631,1695938,120823,32141,5704,0
252,2021-07,Terengganu,5747,2582,34996,4768,626,353,0
253,2021-07,W.P. Kuala Lumpur,45349,27756,483699,29830,12587,2932,0
254,2021-07,W.P. Labuan,1492,2875,25787,943,405,144,0
255,2021-07,W.P. Putrajaya,1649,706,15476,953,380,316,0
256,2021-08,Johor,47964,34261,557520,32519,11821,3624,0
257,2021-08,Kedah,53411,45567,510961,35689,12426,5296,0
258,2021-08,Kelantan,34532,25856,311242,23256,6635,4641,0
259,2021-08,Melaka,17192,15815,225754,10437,4948,1807,0
260,2021-08,Negeri Sembilan,19985,24284,274309,11079,6376,2530,0
261,2021-08,Pahang,19697,16818,246299,13505,3944,2248,0
262,2021-08,Perak,30414,24489,273643,21478,5915,3021,0
263,2021-08,Perlis,1250,598,10024,788,208,254,0
264,2021-08,Pulau Pinang,40658,23816,420601,24246,12345,4067,0
265,2021-08,Sabah,63122,38073,581137,36332,18026,8764,0
266,2021-08,Sarawak,39830,19566,366339,13448,5276,21106,0
267,2021-08,Selangor,196576,202710,2803141,89150,83330,24096,0
268,2021-08,Terengganu,16544,13835,144841,11291,3313,1940,0
269,2021-08,W.P. Kuala Lumpur,50212,59084,784518,20616,19946,9650,0
270,2021-08,W.P. Labuan,148,256,2395,67,22,59,0
271,2021-08,W.P. Putrajaya,1447,2058,25977,605,386,456,0
272,2021-09,Johor,57198,57057,835719,23317,19776,14105,0
273,2021-09,Kedah,35793,47041,374208,16993,9692,9108,0
274,2021-09,Kelantan,37782,39491,384431,17711,8157,11914,0
275,2021-09,Melaka,9787,12306,149693,3920,2760,3107,0
276,2021-09,Negeri Sembilan,5768,8757,78736,2379,1053,2336,0
277,2021-09,Pahang,20584,19885,267792,10423,4185,5976,0
278,2021-09,Perak,34136,33390,372499,14972,9572,9592,0
279,2021-09,Perlis,1938,1858,23308,769,387,782,0
280,2021-09,Pulau Pinang,43718,55344,552087,16897,12832,13989,0
281,2021-09,Sabah,50130,64704,701760,22653,8410,19067,0
282,2021-09,Sarawak,93066,82646,1134641,24775,2683,65608,0
283,2021-09,Selangor,73667,125707,1280345,25018,14889,33760,0
284,2021-09,Terengganu,22153,20560,238705,10695,5238,6220,0
